Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Saint Kitts and Nevis,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,5.99770907,11.95626553,1.995464015
Deaths,Saint Kitts and Nevis,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,6.459609981,12.85858049,2.30257882
Deaths,Grenada,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,19.02811839,40.44140191,5.687941082
Deaths,Grenada,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,16.43611274,36.40239812,4.492104307
Deaths,Suriname,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,148.2447019,241.1503522,72.04796914
Deaths,Suriname,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,112.3886886,181.680844,54.09741784
Deaths,Costa Rica,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,215.3413206,366.2274761,106.1671487
Deaths,Costa Rica,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,148.378292,262.4736163,69.54408087
Deaths,Guatemala,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,847.5630604,1757.572117,296.8542397
Deaths,Guatemala,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,640.0216371,1366.560111,220.9394431
Deaths,Bahamas,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,32.84443986,61.36001094,9.158051341
Deaths,Bahamas,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,27.10517062,52.37920989,7.787772836
Deaths,Dominica,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,16.84648384,28.74459084,7.483112206
Deaths,Dominica,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,15.88186693,26.60210059,6.896039147
Deaths,Jamaica,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,480.4943031,688.9282266,298.8119004
Deaths,Jamaica,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,457.2639014,655.7383307,277.7385278
Deaths,Costa Rica,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,543.5711572,744.3462523,370.414575
Deaths,Costa Rica,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,393.974784,534.39676,266.2340231
Deaths,Argentina,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,6986.263674,9829.512494,4521.674413
Deaths,Argentina,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,5603.798698,7962.120176,3429.920405
Deaths,Bahamas,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,56.27577013,103.8704623,16.27720093
